S No.,Year,State,Industry,Count,Last Update
66,2024,Chandigarh,Textiles & Apparel,4,2025-02-28 01:00:29.627
67,2024,Chandigarh,Transportation & Storage,1,2025-02-28 01:00:30.221
68,2024,Chandigarh,Travel & Tourism,3,2025-02-28 01:00:30.793
69,2024,Chandigarh,Security Solutions,1,2025-02-28 01:00:31.100
70,2024,Chandigarh,Real Estate,2,2025-02-28 01:00:31.723
71,2024,Chandigarh,Biotechnology,1,2025-02-28 01:00:33.232
72,2024,Goa,Architecture Interior Design,1,2025-02-28 01:00:35.087
73,2024,Goa,Automotive,2,2025-02-28 01:00:35.734
74,2024,Goa,Chemicals,1,2025-02-28 01:00:36.667
75,2024,Goa,Telecommunication & Networking,1,2025-02-28 01:00:37.309
76,2024,Goa,Construction,8,2025-02-28 01:00:37.655
77,2024,Goa,Agriculture,2,2025-02-28 01:00:37.960
78,2024,Goa,Aeronautics Aerospace & Defence,1,2025-02-28 01:00:38.266
79,2024,Goa,AI,4,2025-02-28 01:00:38.574
80,2024,Goa,Green Technology,2,2025-02-28 01:00:38.882
81,2024,Goa,Events,5,2025-02-28 01:00:39.185
82,2024,Goa,Fashion,4,2025-02-28 01:00:39.475
83,2024,Goa,Finance Technology,2,2025-02-28 01:00:39.769
84,2024,Goa,Enterprise Software,3,2025-02-28 01:00:40.070
85,2024,Goa,Food & Beverages,12,2025-02-28 01:00:40.363
86,2024,Goa,Education,6,2025-02-28 01:00:41.237
87,2024,Goa,Renewable Energy,5,2025-02-28 01:00:41.521
88,2024,Goa,Technology Hardware,5,2025-02-28 01:00:41.823
89,2024,Goa,Healthcare & Lifesciences,9,2025-02-28 01:00:42.128
90,2024,Goa,Internet of Things,2,2025-02-28 01:00:42.437
91,2024,Goa,IT Services,8,2025-02-28 01:00:42.734
92,2024,Goa,Human Resources,1,2025-02-28 01:00:43.040
93,2024,Goa,Marketing,2,2025-02-28 01:00:43.334
94,2024,Goa,Pets & Animals,1,2025-02-28 01:00:44.234
95,2024,Goa,Media & Entertainment,5,2025-02-28 01:00:44.541
96,2024,Goa,Retail,1,2025-02-28 01:00:44.827
97,2024,Goa,Professional & Commercial Services,6,2025-02-28 01:00:45.453
98,2024,Goa,Sports,1,2025-02-28 01:00:45.760
99,2024,Goa,Textiles & Apparel,1,2025-02-28 01:00:46.677
100,2024,Goa,Indic Language Startups,1,2025-02-28 01:00:46.976
101,2024,Goa,Transportation & Storage,6,2025-02-28 01:00:47.259
102,2024,Goa,Logistics,1,2025-02-28 01:00:47.542
103,2024,Goa,Travel & Tourism,9,2025-02-28 01:00:47.840
104,2024,Goa,Security Solutions,3,2025-02-28 01:00:48.124
105,2024,Goa,Real Estate,2,2025-02-28 01:00:48.701
106,2024,Goa,Other Specialty Retailers,2,2025-02-28 01:00:48.992
107,2024,Delhi,Analytics,8,2025-02-28 01:00:51.393
108,2024,Delhi,Advertising,28,2025-02-28 01:00:51.717
109,2024,Delhi,Architecture Interior Design,27,2025-02-28 01:00:52.057
110,2024,Delhi,AR VR (Augmented + Virtual Reality),8,2025-02-28 01:00:52.383
111,2024,Delhi,Automotive,56,2025-02-28 01:00:52.700
112,2024,Delhi,Art & Photography,8,2025-02-28 01:00:53.020
113,2024,Delhi,Animation,2,2025-02-28 01:00:53.322
114,2024,Delhi,Chemicals,19,2025-02-28 01:00:53.641
115,2024,Delhi,Computer Vision,4,2025-02-28 01:00:53.968
116,2024,Delhi,Telecommunication & Networking,33,2025-02-28 01:00:54.282
117,2024,Delhi,Construction,123,2025-02-28 01:00:54.609
118,2024,Delhi,Agriculture,69,2025-02-28 01:00:54.937
119,2024,Delhi,Aeronautics Aerospace & Defence,26,2025-02-28 01:00:55.248
120,2024,Delhi,AI,60,2025-02-28 01:00:55.561
121,2024,Delhi,Green Technology,61,2025-02-28 01:00:55.879
122,2024,Delhi,Events,32,2025-02-28 01:00:56.198
123,2024,Delhi,Fashion,91,2025-02-28 01:00:56.516
124,2024,Delhi,Finance Technology,85,2025-02-28 01:00:56.842
125,2024,Delhi,Enterprise Software,32,2025-02-28 01:00:57.172
126,2024,Delhi,Food & Beverages,159,2025-02-28 01:00:57.488
127,2024,Delhi,Design,13,2025-02-28 01:00:57.801
128,2024,Delhi,Dating Matrimonial,2,2025-02-28 01:00:58.110
129,2024,Delhi,Education,124,2025-02-28 01:00:58.434
130,2024,Delhi,Renewable Energy,74,2025-02-28 01:00:58.761
131,2024,Delhi,Technology Hardware,96,2025-02-28 01:00:59.071
132,2024,Delhi,Healthcare & Lifesciences,291,2025-02-28 01:00:59.394
133,2024,Delhi,Internet of Things,17,2025-02-28 01:00:59.716
134,2024,Delhi,IT Services,251,2025-02-28 01:01:00.040
135,2024,Delhi,Human Resources,96,2025-02-28 01:01:00.359
136,2024,Delhi,Marketing,55,2025-02-28 01:01:00.679
137,2024,Delhi,Nanotechnology,4,2025-02-28 01:01:00.989
138,2024,Delhi,Non- Renewable Energy,12,2025-02-28 01:01:01.301
139,2024,Delhi,Pets & Animals,6,2025-02-28 01:01:01.621
140,2024,Delhi,Media & Entertainment,56,2025-02-28 01:01:01.933
141,2024,Delhi,Retail,85,2025-02-28 01:01:02.248
142,2024,Delhi,House-Hold Services,29,2025-02-28 01:01:02.571
143,2024,Delhi,Professional & Commercial Services,211,2025-02-28 01:01:02.878
144,2024,Delhi,Sports,16,2025-02-28 01:01:03.206
145,2024,Delhi,Social Impact,21,2025-02-28 01:01:03.518
146,2024,Delhi,Social Network,11,2025-02-28 01:01:03.843
147,2024,Delhi,Textiles & Apparel,61,2025-02-28 01:01:04.166
148,2024,Delhi,Indic Language Startups,10,2025-02-28 01:01:04.474
149,2024,Delhi,Transportation & Storage,40,2025-02-28 01:01:04.795
150,2024,Delhi,Logistics,34,2025-02-28 01:01:05.118
151,2024,Delhi,Travel & Tourism,67,2025-02-28 01:01:05.437
152,2024,Delhi,Security Solutions,68,2025-02-28 01:01:05.752
153,2024,Delhi,Airport Operations,3,2025-02-28 01:01:06.072
154,2024,Delhi,Real Estate,40,2025-02-28 01:01:06.393
155,2024,Delhi,Other Specialty Retailers,45,2025-02-28 01:01:06.711
156,2024,Delhi,Safety,6,2025-02-28 01:01:07.030
157,2024,Delhi,Robotics,13,2025-02-28 01:01:07.343
158,2024,Delhi,Passenger Experience,1,2025-02-28 01:01:07.662
159,2024,Delhi,Biotechnology,9,2025-02-28 01:01:07.989
160,2024,Delhi,Waste Management,40,2025-02-28 01:01:08.317
161,2024,Delhi,Toys and Games,14,2025-02-28 01:01:08.964
162,2024,Gujarat,Analytics,13,2025-02-28 01:01:09.294
163,2024,Gujarat,Advertising,12,2025-02-28 01:01:09.614
164,2024,Gujarat,Architecture Interior Design,24,2025-02-28 01:01:09.930
165,2024,Gujarat,AR VR (Augmented + Virtual Reality),11,2025-02-28 01:01:10.250
166,2024,Gujarat,Automotive,90,2025-02-28 01:01:10.575
167,2024,Gujarat,Art & Photography,13,2025-02-28 01:01:10.887
168,2024,Gujarat,Animation,2,2025-02-28 01:01:11.204
169,2024,Gujarat,Chemicals,108,2025-02-28 01:01:11.526
170,2024,Gujarat,Computer Vision,1,2025-02-28 01:01:11.847
171,2024,Gujarat,Telecommunication & Networking,19,2025-02-28 01:01:12.160
172,2024,Gujarat,Construction,244,2025-02-28 01:01:12.474
173,2024,Gujarat,Agriculture,249,2025-02-28 01:01:12.796
174,2024,Gujarat,Aeronautics Aerospace & Defence,22,2025-02-28 01:01:13.114
175,2024,Gujarat,AI,38,2025-02-28 01:01:13.448
176,2024,Gujarat,Green Technology,75,2025-02-28 01:01:13.758
177,2024,Gujarat,Events,13,2025-02-28 01:01:14.069
178,2024,Gujarat,Fashion,117,2025-02-28 01:01:14.379
179,2024,Gujarat,Finance Technology,94,2025-02-28 01:01:14.695
180,2024,Gujarat,Enterprise Software,37,2025-02-28 01:01:15.012
181,2024,Gujarat,Food & Beverages,184,2025-02-28 01:01:15.336
182,2024,Gujarat,Design,14,2025-02-28 01:01:15.654
183,2024,Gujarat,Dating Matrimonial,2,2025-02-28 01:01:15.971
184,2024,Gujarat,Education,95,2025-02-28 01:01:16.282
185,2024,Gujarat,Renewable Energy,153,2025-02-28 01:01:16.601
186,2024,Gujarat,Technology Hardware,194,2025-02-28 01:01:16.925
187,2024,Gujarat,Healthcare & Lifesciences,321,2025-02-28 01:01:17.252
188,2024,Gujarat,Internet of Things,19,2025-02-28 01:01:17.562
189,2024,Gujarat,IT Services,287,2025-02-28 01:01:17.890
190,2024,Gujarat,Human Resources,38,2025-02-28 01:01:18.208
191,2024,Gujarat,Marketing,47,2025-02-28 01:01:18.529
192,2024,Gujarat,Nanotechnology,6,2025-02-28 01:01:18.845
193,2024,Gujarat,Non- Renewable Energy,31,2025-02-28 01:01:19.160
194,2024,Gujarat,Pets & Animals,6,2025-02-28 01:01:19.502
195,2024,Gujarat,Media & Entertainment,23,2025-02-28 01:01:19.814
196,2024,Gujarat,Retail,55,2025-02-28 01:01:20.117
197,2024,Gujarat,House-Hold Services,26,2025-02-28 01:01:20.428
198,2024,Gujarat,Professional & Commercial Services,247,2025-02-28 01:01:20.753
199,2024,Gujarat,Sports,10,2025-02-28 01:01:21.060
200,2024,Gujarat,Social Impact,10,2025-02-28 01:01:21.379
201,2024,Gujarat,Social Network,2,2025-02-28 01:01:21.695
202,2024,Gujarat,Textiles & Apparel,135,2025-02-28 01:01:22.013
203,2024,Gujarat,Indic Language Startups,13,2025-02-28 01:01:22.337
204,2024,Gujarat,Transportation & Storage,62,2025-02-28 01:01:22.665
205,2024,Gujarat,Logistics,24,2025-02-28 01:01:22.984
206,2024,Gujarat,Travel & Tourism,51,2025-02-28 01:01:23.302
207,2024,Gujarat,Security Solutions,21,2025-02-28 01:01:23.636
208,2024,Gujarat,Real Estate,28,2025-02-28 01:01:24.273
209,2024,Gujarat,Other Specialty Retailers,52,2025-02-28 01:01:24.598
210,2024,Gujarat,Safety,16,2025-02-28 01:01:24.941
211,2024,Gujarat,Robotics,11,2025-02-28 01:01:25.264
212,2024,Gujarat,Biotechnology,15,2025-02-28 01:01:25.904
213,2024,Gujarat,Waste Management,48,2025-02-28 01:01:26.228
214,2024,Gujarat,Toys and Games,16,2025-02-28 01:01:26.870
215,2024,Himachal Pradesh,Automotive,2,2025-02-28 01:01:28.325
216,2024,Himachal Pradesh,Art & Photography,1,2025-02-28 01:01:28.603
217,2024,Himachal Pradesh,Telecommunication & Networking,1,2025-02-28 01:01:29.786
218,2024,Himachal Pradesh,Construction,20,2025-02-28 01:01:30.078
219,2024,Himachal Pradesh,Agriculture,16,2025-02-28 01:01:30.373
220,2024,Himachal Pradesh,Aeronautics Aerospace & Defence,2,2025-02-28 01:01:30.663
221,2024,Himachal Pradesh,AI,2,2025-02-28 01:01:30.961
222,2024,Himachal Pradesh,Fashion,2,2025-02-28 01:01:31.883
223,2024,Himachal Pradesh,Finance Technology,1,2025-02-28 01:01:32.179
224,2024,Himachal Pradesh,Enterprise Software,1,2025-02-28 01:01:32.463
225,2024,Himachal Pradesh,Food & Beverages,10,2025-02-28 01:01:32.775
226,2024,Himachal Pradesh,Design,1,2025-02-28 01:01:33.057
227,2024,Himachal Pradesh,Education,8,2025-02-28 01:01:33.645
228,2024,Himachal Pradesh,Renewable Energy,4,2025-02-28 01:01:33.941
229,2024,Himachal Pradesh,Technology Hardware,7,2025-02-28 01:01:34.235
230,2024,Himachal Pradesh,Healthcare & Lifesciences,15,2025-02-28 01:01:34.523
231,2024,Himachal Pradesh,Internet of Things,1,2025-02-28 01:01:34.818
232,2024,Himachal Pradesh,IT Services,8,2025-02-28 01:01:35.103
233,2024,Himachal Pradesh,Human Resources,4,2025-02-28 01:01:35.394
234,2024,Himachal Pradesh,Marketing,2,2025-02-28 01:01:35.680
235,2024,Himachal Pradesh,Media & Entertainment,1,2025-02-28 01:01:36.903
236,2024,Himachal Pradesh,Retail,5,2025-02-28 01:01:37.205
237,2024,Himachal Pradesh,House-Hold Services,1,2025-02-28 01:01:37.511
238,2024,Himachal Pradesh,Professional & Commercial Services,8,2025-02-28 01:01:37.816
239,2024,Himachal Pradesh,Social Network,1,2025-02-28 01:01:38.708
240,2024,Himachal Pradesh,Textiles & Apparel,1,2025-02-28 01:01:39.012
241,2024,Himachal Pradesh,Indic Language Startups,1,2025-02-28 01:01:39.298
242,2024,Himachal Pradesh,Transportation & Storage,3,2025-02-28 01:01:39.603
243,2024,Himachal Pradesh,Travel & Tourism,11,2025-02-28 01:01:40.183
244,2024,Himachal Pradesh,Real Estate,1,2025-02-28 01:01:41.049
245,2024,Himachal Pradesh,Other Specialty Retailers,3,2025-02-28 01:01:41.357
246,2024,Himachal Pradesh,Waste Management,1,2025-02-28 01:01:42.821
247,2024,Haryana,Analytics,5,2025-02-28 01:01:43.708
248,2024,Haryana,Advertising,17,2025-02-28 01:01:44.029
249,2024,Haryana,Architecture Interior Design,18,2025-02-28 01:01:44.333
250,2024,Haryana,AR VR (Augmented + Virtual Reality),5,2025-02-28 01:01:44.634
251,2024,Haryana,Automotive,49,2025-02-28 01:01:44.934
252,2024,Haryana,Art & Photography,6,2025-02-28 01:01:45.235
253,2024,Haryana,Chemicals,17,2025-02-28 01:01:45.846
254,2024,Haryana,Computer Vision,2,2025-02-28 01:01:46.170
255,2024,Haryana,Telecommunication & Networking,15,2025-02-28 01:01:46.475
256,2024,Haryana,Construction,113,2025-02-28 01:01:46.786
257,2024,Haryana,Agriculture,71,2025-02-28 01:01:47.103
258,2024,Haryana,Aeronautics Aerospace & Defence,24,2025-02-28 01:01:47.431
259,2024,Haryana,AI,46,2025-02-28 01:01:47.738
260,2024,Haryana,Green Technology,31,2025-02-28 01:01:48.056
261,2024,Haryana,Events,10,2025-02-28 01:01:48.381
262,2024,Haryana,Fashion,44,2025-02-28 01:01:48.701
263,2024,Haryana,Finance Technology,50,2025-02-28 01:01:49.011
264,2024,Haryana,Enterprise Software,32,2025-02-28 01:01:49.320
265,2024,Haryana,Food & Beverages,89,2025-02-28 01:01:49.638
266,2024,Haryana,Design,4,2025-02-28 01:01:49.955
267,2024,Haryana,Dating Matrimonial,2,2025-02-28 01:01:50.265
268,2024,Haryana,Education,91,2025-02-28 01:01:50.588
269,2024,Haryana,Renewable Energy,46,2025-02-28 01:01:50.907
270,2024,Haryana,Technology Hardware,58,2025-02-28 01:01:51.218
271,2024,Haryana,Healthcare & Lifesciences,168,2025-02-28 01:01:51.523
272,2024,Haryana,Internet of Things,10,2025-02-28 01:01:51.831
273,2024,Haryana,IT Services,150,2025-02-28 01:01:52.146
274,2024,Haryana,Human Resources,37,2025-02-28 01:01:52.450
275,2024,Haryana,Marketing,39,2025-02-28 01:01:52.740
276,2024,Haryana,Nanotechnology,1,2025-02-28 01:01:53.062
277,2024,Haryana,Non- Renewable Energy,7,2025-02-28 01:01:53.380
278,2024,Haryana,Pets & Animals,9,2025-02-28 01:01:53.690
279,2024,Haryana,Media & Entertainment,20,2025-02-28 01:01:54.000
280,2024,Haryana,Retail,46,2025-02-28 01:01:54.309
281,2024,Haryana,House-Hold Services,18,2025-02-28 01:01:54.621
282,2024,Haryana,Professional & Commercial Services,99,2025-02-28 01:01:54.938
283,2024,Haryana,Sports,12,2025-02-28 01:01:55.240
284,2024,Haryana,Social Impact,6,2025-02-28 01:01:55.548
285,2024,Haryana,Social Network,8,2025-02-28 01:01:55.852
286,2024,Haryana,Textiles & Apparel,46,2025-02-28 01:01:56.152
287,2024,Haryana,Indic Language Startups,4,2025-02-28 01:01:56.473
288,2024,Haryana,Transportation & Storage,28,2025-02-28 01:01:56.799
289,2024,Haryana,Logistics,19,2025-02-28 01:01:57.105
290,2024,Haryana,Travel & Tourism,33,2025-02-28 01:01:57.407
291,2024,Haryana,Security Solutions,17,2025-02-28 01:01:57.712
292,2024,Haryana,Real Estate,23,2025-02-28 01:01:58.315
293,2024,Haryana,Other Specialty Retailers,32,2025-02-28 01:01:58.634
294,2024,Haryana,Safety,3,2025-02-28 01:01:58.955
295,2024,Haryana,Robotics,3,2025-02-28 01:01:59.266
296,2024,Haryana,Passenger Experience,2,2025-02-28 01:01:59.570
297,2024,Haryana,Biotechnology,6,2025-02-28 01:01:59.872
298,2024,Haryana,Waste Management,27,2025-02-28 01:02:00.183
299,2024,Haryana,Toys and Games,13,2025-02-28 01:02:00.798
300,2024,Jammu and Kashmir,Architecture Interior Design,2,2025-02-28 01:02:01.642
301,2024,Jammu and Kashmir,Automotive,9,2025-02-28 01:02:02.222
302,2024,Jammu and Kashmir,Art & Photography,1,2025-02-28 01:02:02.503
303,2024,Jammu and Kashmir,Chemicals,1,2025-02-28 01:02:03.032
304,2024,Jammu and Kashmir,Construction,87,2025-02-28 01:02:03.857
305,2024,Jammu and Kashmir,Agriculture,23,2025-02-28 01:02:04.129
306,2024,Jammu and Kashmir,Aeronautics Aerospace & Defence,1,2025-02-28 01:02:04.401
307,2024,Jammu and Kashmir,AI,3,2025-02-28 01:02:04.673
308,2024,Jammu and Kashmir,Green Technology,4,2025-02-28 01:02:04.946
309,2024,Jammu and Kashmir,Events,1,2025-02-28 01:02:05.223
310,2024,Jammu and Kashmir,Fashion,4,2025-02-28 01:02:05.492
311,2024,Jammu and Kashmir,Enterprise Software,2,2025-02-28 01:02:06.039
312,2024,Jammu and Kashmir,Food & Beverages,15,2025-02-28 01:02:06.316
313,2024,Jammu and Kashmir,Education,6,2025-02-28 01:02:07.139
314,2024,Jammu and Kashmir,Renewable Energy,7,2025-02-28 01:02:07.402
315,2024,Jammu and Kashmir,Technology Hardware,5,2025-02-28 01:02:07.673
316,2024,Jammu and Kashmir,Healthcare & Lifesciences,13,2025-02-28 01:02:07.942
317,2024,Jammu and Kashmir,IT Services,22,2025-02-28 01:02:08.485
318,2024,Jammu and Kashmir,Human Resources,9,2025-02-28 01:02:08.762
319,2024,Jammu and Kashmir,Marketing,3,2025-02-28 01:02:09.038
320,2024,Jammu and Kashmir,Media & Entertainment,5,2025-02-28 01:02:10.126
321,2024,Jammu and Kashmir,Professional & Commercial Services,15,2025-02-28 01:02:10.934
322,2024,Jammu and Kashmir,Social Impact,1,2025-02-28 01:02:11.490
323,2024,Jammu and Kashmir,Textiles & Apparel,6,2025-02-28 01:02:12.037
324,2024,Jammu and Kashmir,Transportation & Storage,5,2025-02-28 01:02:12.584
325,2024,Jammu and Kashmir,Logistics,1,2025-02-28 01:02:12.851
326,2024,Jammu and Kashmir,Travel & Tourism,12,2025-02-28 01:02:13.130
327,2024,Jammu and Kashmir,Security Solutions,6,2025-02-28 01:02:13.417
328,2024,Jammu and Kashmir,Real Estate,2,2025-02-28 01:02:13.964
329,2024,Jammu and Kashmir,Safety,1,2025-02-28 01:02:14.514
330,2024,Jammu and Kashmir,Biotechnology,1,2025-02-28 01:02:15.330
331,2024,Jammu and Kashmir,Waste Management,2,2025-02-28 01:02:15.604
332,2024,Jharkhand,Analytics,1,2025-02-28 01:02:16.403
333,2024,Jharkhand,Advertising,1,2025-02-28 01:02:16.675
334,2024,Jharkhand,Architecture Interior Design,3,2025-02-28 01:02:16.951
335,2024,Jharkhand,AR VR (Augmented + Virtual Reality),1,2025-02-28 01:02:17.217
336,2024,Jharkhand,Automotive,7,2025-02-28 01:02:17.490
337,2024,Jharkhand,Art & Photography,1,2025-02-28 01:02:17.766
338,2024,Jharkhand,Chemicals,4,2025-02-28 01:02:18.311
339,2024,Jharkhand,Telecommunication & Networking,3,2025-02-28 01:02:18.858
340,2024,Jharkhand,Construction,39,2025-02-28 01:02:19.125
341,2024,Jharkhand,Agriculture,32,2025-02-28 01:02:19.401
342,2024,Jharkhand,Aeronautics Aerospace & Defence,1,2025-02-28 01:02:19.678
343,2024,Jharkhand,AI,11,2025-02-28 01:02:19.954
344,2024,Jharkhand,Green Technology,6,2025-02-28 01:02:20.233
345,2024,Jharkhand,Events,2,2025-02-28 01:02:20.505
346,2024,Jharkhand,Fashion,5,2025-02-28 01:02:20.781
347,2024,Jharkhand,Finance Technology,3,2025-02-28 01:02:21.053
348,2024,Jharkhand,Enterprise Software,1,2025-02-28 01:02:21.324
349,2024,Jharkhand,Food & Beverages,20,2025-02-28 01:02:21.601
350,2024,Jharkhand,Design,1,2025-02-28 01:02:21.876
351,2024,Jharkhand,Education,18,2025-02-28 01:02:22.417
352,2024,Jharkhand,Renewable Energy,13,2025-02-28 01:02:22.696
353,2024,Jharkhand,Technology Hardware,11,2025-02-28 01:02:22.966
354,2024,Jharkhand,Healthcare & Lifesciences,23,2025-02-28 01:02:23.240
355,2024,Jharkhand,Internet of Things,2,2025-02-28 01:02:23.517
356,2024,Jharkhand,IT Services,33,2025-02-28 01:02:23.790
357,2024,Jharkhand,Human Resources,9,2025-02-28 01:02:24.065
358,2024,Jharkhand,Marketing,3,2025-02-28 01:02:24.344
359,2024,Jharkhand,Non- Renewable Energy,3,2025-02-28 01:02:24.897
360,2024,Jharkhand,Pets & Animals,1,2025-02-28 01:02:25.175
361,2024,Jharkhand,Media & Entertainment,2,2025-02-28 01:02:25.448
362,2024,Jharkhand,Retail,2,2025-02-28 01:02:25.724
363,2024,Jharkhand,House-Hold Services,2,2025-02-28 01:02:26.003
364,2024,Jharkhand,Professional & Commercial Services,23,2025-02-28 01:02:26.272
365,2024,Jharkhand,Sports,2,2025-02-28 01:02:26.555
366,2024,Jharkhand,Social Impact,2,2025-02-28 01:02:26.820
367,2024,Jharkhand,Textiles & Apparel,5,2025-02-28 01:02:27.366
368,2024,Jharkhand,Indic Language Startups,2,2025-02-28 01:02:27.626
369,2024,Jharkhand,Transportation & Storage,4,2025-02-28 01:02:27.898
370,2024,Jharkhand,Logistics,1,2025-02-28 01:02:28.173
371,2024,Jharkhand,Travel & Tourism,2,2025-02-28 01:02:28.448
372,2024,Jharkhand,Security Solutions,7,2025-02-28 01:02:28.726
373,2024,Jharkhand,Real Estate,7,2025-02-28 01:02:29.273
374,2024,Jharkhand,Other Specialty Retailers,3,2025-02-28 01:02:29.550
375,2024,Jharkhand,Safety,2,2025-02-28 01:02:29.827
376,2024,Jharkhand,Robotics,2,2025-02-28 01:02:30.098
377,2024,Jharkhand,Biotechnology,1,2025-02-28 01:02:30.648
378,2024,Jharkhand,Waste Management,3,2025-02-28 01:02:30.929
379,2024,Jharkhand,Toys and Games,1,2025-02-28 01:02:31.508
380,2024,Bihar,Analytics,1,2025-02-28 01:02:31.805
381,2024,Bihar,Advertising,10,2025-02-28 01:02:32.096
382,2024,Bihar,Architecture Interior Design,4,2025-02-28 01:02:32.396
383,2024,Bihar,Automotive,10,2025-02-28 01:02:33.006
384,2024,Bihar,Art & Photography,4,2025-02-28 01:02:33.301
385,2024,Bihar,Animation,1,2025-02-28 01:02:33.595
386,2024,Bihar,Chemicals,4,2025-02-28 01:02:33.892
387,2024,Bihar,Telecommunication & Networking,7,2025-02-28 01:02:34.470
388,2024,Bihar,Construction,184,2025-02-28 01:02:34.777
389,2024,Bihar,Agriculture,62,2025-02-28 01:02:35.080
390,2024,Bihar,Aeronautics Aerospace & Defence,6,2025-02-28 01:02:35.374
391,2024,Bihar,AI,10,2025-02-28 01:02:35.667
392,2024,Bihar,Green Technology,7,2025-02-28 01:02:35.964
393,2024,Bihar,Events,7,2025-02-28 01:02:36.264
394,2024,Bihar,Fashion,15,2025-02-28 01:02:36.571
